Current generation: 0 Number of solutions: 1000 Number of species: 1 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.282045 Best fitness: 0.477143 Innovation number: 0 Average genome size: 2.000000 Average connection genes: 0.000000 Average field genes: 2.000000 Best solution: [solution 249 [ fit.: 0.477143, part.: (0.916099, 0.475206, 0.998142, 0.000000, 0.474829, ), spec.: 0, adj.fit.: 0.000477, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, last mutations{}]]
Current generation: 1 Number of solutions: 1000 Number of species: 3 Number of active species: 3 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.357737 Best fitness: 0.732902 Innovation number: 0 Average genome size: 2.145000 Average connection genes: 0.145000 Average field genes: 2.000000 Best solution: [solution 1864 [ fit.: 0.732902, part.: (0.959357, 0.927597, 0.997280, 0.200000, 0.969433, ), spec.: 0, adj.fit.: 0.000735, age: 0, parents (216, 63), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (mhk to gk)] [fg 2 (gk to mhk)] (added cg 1-2 innov.0) (mutated)}]]
Current generation: 13 Number of solutions: 1000 Number of species: 18 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.626084 Best fitness: 0.745696 Innovation number: 15 Average genome size: 3.006000 Average connection genes: 1.004000 Average field genes: 2.002000 Best solution: [solution 13056 [ fit.: 0.745696, part.: (0.997778, 0.964518, 0.998269, 0.200000, 0.966925, ), spec.: 0, adj.fit.: 0.001071, age: 0, parents (12061, 12417), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk amp.-0.500000)] [fg 2 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk width inh. -0.500000)] [cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 14 Number of solutions: 1000 Number of species: 20 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.602266 Best fitness: 0.746084 Innovation number: 17 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 14711 [ fit.: 0.746084, part.: (0.998442, 0.966335, 0.998056, 0.200000, 0.966711, ), spec.: 2, adj.fit.: 0.003519, age: 0, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk amp.-0.500000)] [fg 2 (fg mhk amp. exc. 0.500000)(fg mhk width exc. 0.500000)(fg mhk amp. inh. 0.500000)] [cg 1-2 (cg gk amp.0.500000)]  (mutated)}]]
Current generation: 15 Number of solutions: 1000 Number of species: 22 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.605907 Best fitness: 0.746085 Innovation number: 19 Average genome size: 3.006000 Average connection genes: 1.004000 Average field genes: 2.002000 Best solution: [solution 14711 [ fit.: 0.746085, part.: (0.998475, 0.966383, 0.997968, 0.200000, 0.966710, ), spec.: 0, adj.fit.: 0.001127, age: 1, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 16 Number of solutions: 1000 Number of species: 24 Number of active species: 14 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.562680 Best fitness: 0.746010 Innovation number: 19 Average genome size: 3.174000 Average connection genes: 1.116000 Average field genes: 2.058000 Best solution: [solution 14711 [ fit.: 0.746010, part.: (0.998418, 0.966265, 0.997694, 0.200000, 0.966699, ), spec.: 0, adj.fit.: 0.001280, age: 2, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 17 Number of solutions: 1000 Number of species: 26 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.564193 Best fitness: 0.746016 Innovation number: 21 Average genome size: 3.504000 Average connection genes: 1.336000 Average field genes: 2.168000 Best solution: [solution 14711 [ fit.: 0.746016, part.: (0.998466, 0.966378, 0.997534, 0.200000, 0.966703, ), spec.: 0, adj.fit.: 0.001211, age: 3, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 18 Number of solutions: 1000 Number of species: 33 Number of active species: 17 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.563422 Best fitness: 0.746109 Innovation number: 21 Average genome size: 3.402000 Average connection genes: 1.268000 Average field genes: 2.134000 Best solution: [solution 14711 [ fit.: 0.746109, part.: (0.998410, 0.966349, 0.998244, 0.200000, 0.966708, ), spec.: 0, adj.fit.: 0.001463, age: 4, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 19 Number of solutions: 1000 Number of species: 38 Number of active species: 22 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.532441 Best fitness: 0.746091 Innovation number: 21 Average genome size: 3.936000 Average connection genes: 1.624000 Average field genes: 2.312000 Best solution: [solution 14711 [ fit.: 0.746091, part.: (0.998501, 0.966255, 0.998168, 0.200000, 0.966700, ), spec.: 0, adj.fit.: 0.001715, age: 5, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 20 Number of solutions: 1000 Number of species: 38 Number of active species: 22 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.658975 Best fitness: 0.746057 Innovation number: 23 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 14711 [ fit.: 0.746057, part.: (0.998437, 0.966287, 0.997956, 0.200000, 0.966702, ), spec.: 20, adj.fit.: 0.005145, age: 6, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 21 Number of solutions: 1000 Number of species: 41 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.632034 Best fitness: 0.746078 Innovation number: 23 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 14711 [ fit.: 0.746078, part.: (0.998458, 0.966317, 0.998046, 0.200000, 0.966697, ), spec.: 20, adj.fit.: 0.006217, age: 7, parents (13013, 13014), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 22 Number of solutions: 1000 Number of species: 42 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.609733 Best fitness: 0.746089 Innovation number: 25 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 22092 [ fit.: 0.746089, part.: (0.999285, 0.966502, 0.997057, 0.200000, 0.966687, ), spec.: 0, adj.fit.: 0.001075, age: 0, parents (21396, 21448), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk width inh. -0.500000)]  (mutated)}]]
Current generation: 23 Number of solutions: 1000 Number of species: 44 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.604178 Best fitness: 0.745870 Innovation number: 25 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 22092 [ fit.: 0.745870, part.: (0.999226, 0.966425, 0.995770, 0.200000, 0.966680, ), spec.: 20, adj.fit.: 0.006114, age: 1, parents (21396, 21448), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 24 Number of solutions: 1000 Number of species: 45 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.607473 Best fitness: 0.746169 Innovation number: 25 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 22092 [ fit.: 0.746169, part.: (0.999335, 0.966494, 0.997547, 0.200000, 0.966688, ), spec.: 0, adj.fit.: 0.001122, age: 2, parents (21396, 21448), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 25 Number of solutions: 1000 Number of species: 46 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.608701 Best fitness: 0.746201 Innovation number: 27 Average genome size: 3.012000 Average connection genes: 1.008000 Average field genes: 2.004000 Best solution: [solution 22092 [ fit.: 0.746201, part.: (0.999427, 0.966478, 0.997700, 0.200000, 0.966681, ), spec.: 0, adj.fit.: 0.001194, age: 3, parents (21396, 21448), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 26 Number of solutions: 1000 Number of species: 49 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.617455 Best fitness: 0.746043 Innovation number: 27 Average genome size: 3.009000 Average connection genes: 1.006000 Average field genes: 2.003000 Best solution: [solution 25819 [ fit.: 0.746043, part.: (0.998329, 0.933390, 0.998029, 0.200000, 0.999558, ), spec.: 0, adj.fit.: 0.001072, age: 1, parents (24023, 24028), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 27 Number of solutions: 1000 Number of species: 54 Number of active species: 14 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.583292 Best fitness: 0.746127 Innovation number: 29 Average genome size: 3.444000 Average connection genes: 1.296000 Average field genes: 2.148000 Best solution: [solution 27661 [ fit.: 0.746127, part.: (0.999960, 0.965695, 0.997580, 0.200000, 0.966784, ), spec.: 20, adj.fit.: 0.005922, age: 0, parents (26090, 26077), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk width inh. -0.500000)] [cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 28 Number of solutions: 1000 Number of species: 61 Number of active species: 21 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.558721 Best fitness: 0.746233 Innovation number: 29 Average genome size: 4.101000 Average connection genes: 1.734000 Average field genes: 2.367000 Best solution: [solution 28156 [ fit.: 0.746233, part.: (0.999943, 0.965644, 0.998380, 0.200000, 0.966780, ), spec.: 0, adj.fit.: 0.001615, age: 0, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 29 Number of solutions: 1000 Number of species: 77 Number of active species: 35 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.515164 Best fitness: 0.746155 Innovation number: 31 Average genome size: 4.791000 Average connection genes: 2.194000 Average field genes: 2.597000 Best solution: [solution 28156 [ fit.: 0.746155, part.: (0.999896, 0.965666, 0.997876, 0.200000, 0.966782, ), spec.: 0, adj.fit.: 0.002774, age: 1, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 30 Number of solutions: 1000 Number of species: 77 Number of active species: 35 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.665117 Best fitness: 0.746204 Innovation number: 31 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 30300 [ fit.: 0.746204, part.: (0.999947, 0.999222, 0.997887, 0.200000, 0.933421, ), spec.: 20, adj.fit.: 0.003866, age: 0, parents (29265, 29035), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk width -0.500000)(fg gk amp.-0.500000)] [fg 2 (gk to mhk)] [cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)(cg gk amp. glob.-0.050000)]  (mutated)}]]
Current generation: 31 Number of solutions: 1000 Number of species: 79 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.633420 Best fitness: 0.746182 Innovation number: 31 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 28156 [ fit.: 0.746182, part.: (0.999916, 0.965699, 0.998004, 0.200000, 0.966774, ), spec.: 0, adj.fit.: 0.001258, age: 3, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 32 Number of solutions: 1000 Number of species: 82 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.613372 Best fitness: 0.746213 Innovation number: 31 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 28156 [ fit.: 0.746213, part.: (0.999918, 0.965687, 0.998220, 0.200000, 0.966775, ), spec.: 2, adj.fit.: 0.028701, age: 4, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 33 Number of solutions: 1000 Number of species: 84 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.606251 Best fitness: 0.746205 Innovation number: 33 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 30300 [ fit.: 0.746205, part.: (0.999912, 0.999200, 0.997964, 0.200000, 0.933417, ), spec.: 0, adj.fit.: 0.001181, age: 3, parents (29265, 29035), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 34 Number of solutions: 1000 Number of species: 85 Number of active species: 13 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.633075 Best fitness: 0.746246 Innovation number: 35 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 30300 [ fit.: 0.746246, part.: (0.999898, 0.999160, 0.998293, 0.200000, 0.933426, ), spec.: 0, adj.fit.: 0.001161, age: 4, parents (29265, 29035), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 35 Number of solutions: 1000 Number of species: 87 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.591922 Best fitness: 0.746195 Innovation number: 35 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 28156 [ fit.: 0.746195, part.: (0.999966, 0.965705, 0.998037, 0.200000, 0.966770, ), spec.: 85, adj.fit.: 0.004845, age: 7, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 36 Number of solutions: 1000 Number of species: 88 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.588479 Best fitness: 0.746156 Innovation number: 35 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 28156 [ fit.: 0.746156, part.: (0.999891, 0.965716, 0.997825, 0.200000, 0.966775, ), spec.: 0, adj.fit.: 0.001114, age: 8, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 37 Number of solutions: 1000 Number of species: 90 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.552361 Best fitness: 0.746051 Innovation number: 37 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 28156 [ fit.: 0.746051, part.: (0.999896, 0.965654, 0.997200, 0.200000, 0.966779, ), spec.: 0, adj.fit.: 0.001293, age: 9, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
